SourceType,Title,Year,Pages,JournalName,Issue,URL,Tag,Month,StandardNumber,Publisher,Volume,City,Monitoring year,Study sites,Dataset size,Taxa,Analysis,Preprocessing,Analysis Methods,Automation Tools,Prog. language,Code availability,Data Availability,Class. Accuracy,Evauation Method,Gaps
Journal Article,Aggregated time-series features boost species-specific differentiation of true and false positives in passive acoustic monitoring of bird assemblages,2024,517-530,Remote Sensing in Ecology and Conservation,,http://dx.doi.org/10.1002/rse2.385,aggregated-time-series-features-boost-species-specific-differentiation-of-true-and-false-positives-in-passive-acoustic-monitoring-of-bird-assemblages,11,2056-3485,Wiley,,,2021,"Beech forests in Hainich National Park, Germany; Latitude: 51.09° N, Longitude: 10.43° E",5760 hours of audio data recorded at 60 sites,"61 bird species, including Blackbird (Turdus merula), Chaffinch (Fringilla coelebs), Grey-headed woodpecker (Picus canus), and others",BirdNET algorithm with optimized species-specific thresholds,"Noise filtering, Spectrogram visualization","Conditional inference trees for species-specific thresholding, Aggregated time-series feature modeling"," BirdNET, R packages (partykit, tuneR)",R,Yes,Data available upon request,"recision ≥ 90% for 70% of species with optimized thresholds
Recall and precision metrics vary by species and model",Human-validated species detection samples; Threshold optimization using statistical modeling,"Explore spatio-temporal variations in BirdNET performance
Optimize thresholds for other taxa and broader ecosystems
Enhance detection for locally rare species"
Journal Article,An acoustic detection dataset of birds (Aves) in montane forests using a deep learning approach,2023,e97811,Biodiversity Data Journal,,https://doi.org/10.3897/BDJ.11.e97811,an-acoustic-detection-dataset-of-birds-(aves)-in-montane-forests-using-a-deep-learning-approach,,1314-2836,Pensoft Publishers,,,2020–2021,"Yushan National Park, Taiwan; Six PAM stations ranging from 1,264m to 2,739m elevation (e.g., MSC01: Latitude 23.2755 N, Longitude 120.8440 E)","Total recordings: 1,776,492 one-minute recordings (~29,608 hours)
Vocalizations identified: 6,243,820 across seven bird species","White-eared Sibia (Heterophasia auricularis)
Taiwan Barbet (Psilopogon nuchalis)
Steere's Liocichla (Liocichla steerii)
Taiwan Yuhina (Yuhina brunneiceps)
Gray-chinned Minivet (Pericrocotus solaris)
White-tailed Robin (Myiomela leucura)
Large-billed Crow (Corvus macrorhynchos)",SILIC automated identification model with precision ≥ 0.95 for all sound classes,"Spectrogram segmentation, Noise reduction, Confidence threshold optimization","Time-series aggregation for temporal patterns
Species-specific detection thresholds based on precision-recall curves","SILIC, R packages (partykit, tuneR)","R, Python",Available on GitHub (SILIC models),"Open dataset, downloadable from Darwin Core Archive","Precision: 0.95
Recall: 0.48–0.80 depending on the species","Confusion matrix analysis, AUC, and AP scores","Expand taxa coverage beyond birds (e.g., frogs, mammals)
Address limitations in ARU detection range and habitat representation
Integrate manual annotations to improve detection models"
Journal Article,An automatic detection algorithm for extracting the representative frequency of cetacean tonal sounds,2013,2477-2485,The Journal of the Acoustical Society of America,,http://dx.doi.org/10.1121/1.4816572,an-automatic-detection-algorithm-for-extracting-the-representative-frequency-of-cetacean-tonal-sounds,11,1520-8524,Acoustical Society of America (ASA),,,2015,"[Southern California Bight, 200-1000m depth, latitude/longitude not provided]","4504 D-calls and 320 40-Hz calls, duration not explicitly stated, size not provided",Marine Mammals,Automated,"Spectrogram, noise reduction, band-pass filter",Logistic regression,MATLAB,MATLAB,No,No,95.2,Cross-validation,Real-time monitoring applications
Journal Article,An image processing based paradigm for the extraction of tonal sounds in cetacean communications,2013,4435-4445,The Journal of the Acoustical Society of America,,http://dx.doi.org/10.1121/1.4828821,an-image-processing-based-paradigm-for-the-extraction-of-tonal-sounds-in-cetacean-communications,11,1520-8524,Acoustical Society of America (ASA),,,Not explicitly stated,[Not explicitly stated],Not explicitly stated,Marine Mammals,Automated,Spectrogram,Image processing ridge tracking,"MATLAB, Silbido",MATLAB,Yes,No,Not provided,Not provided,Improvements in ridge detection for tonal sound analysis
Journal Article,Assessing the structure and drivers of biological sounds along a disturbance gradient,2021,e01850,Global Ecology and Conservation,,https://doi.org/10.1016/j.gecco.2021.e01850,assessing-the-structure-and-drivers-of-biological-sounds-along-a-disturbance-gradient,,,,,,Not explicitly stated,"[Not explicitly stated, disturbance gradient implied]",Not explicitly stated,Soundscapes,Acoustic indices,Not explicitly stated,Not explicitly stated,Not explicitly stated,Not explicitly stated,Not explicitly stated,Not explicitly stated,Not explicitly stated,Not explicitly stated,Exploration of soundscapes in diverse disturbance gradients
generic,Assessment of the Effects of the Offshore Wind Farm Egmond aan Zee (OWEZ) for Harbour Porpoise (comparison T0 and T1),2009,,,,https://tethys.pnnl.gov/sites/default/files/publications/Assessment-of-OSW-farm.pdf,assessment-of-the-effects-of-the-offshore-wind-farm-egmond-aan-zee-(owez)-for-harbour-porpoise-(comparison-t0-and-t1),11,,,,,"2003/2004 (T0), 2007-2009 (T1)","[Egmond aan Zee, Netherlands]","8 acoustic monitoring devices, duration and size not explicitly stated",Marine Mammals,Manual and Automated,Not explicitly stated,Before-After Control-Impact (BACI) design,T-PODs,Not explicitly stated,Not explicitly stated,No,Not explicitly stated,Statistical comparison (BACI),Evaluation of long-term impacts and ecological interactions
Conference Proceedings,"Automated bird acoustic detection at Las Arrieras Nature Reserve in Sarapiquí, Costa Rica",2022,01-Aug,2022 IEEE 4th International Conference on BioInspired Processing (BIP),,https://ieeexplore.ieee.org/document/10032472,"automated-bird-acoustic-detection-at-las-arrieras-nature-reserve-in-sarapiquí,-costa-rica",,,,,,Not explicitly stated,"[Las Arrieras Nature Reserve, SarapiquÄ±Ì, Costa Rica]",AudioMoth recordings; details not explicitly stated,Birds,Automated,Pattern matching,Random Forest Model,AudioMoth,Not explicitly stated,No,No,91% or higher,Precision and recall,Refinement of automated bird acoustic detection methods
Journal Article,Automated detection and detection range of primate duets: a case study of the red titi monkey (Plecturocebus discolor) using passive acoustic monitoring,2023,,Frontiers in Ecology and Evolution,,http://dx.doi.org/10.3389/fevo.2023.1173722,automated-detection-and-detection-range-of-primate-duets:-a-case-study-of-the-red-titi-monkey-(plecturocebus-discolor)-using-passive-acoustic-monitoring,11,2296-701X,Frontiers Media SA,,,Not explicitly stated,"[Tiputini Biodiversity Station, Ecuador, terra firme and seasonally flooded forest]",Audio recordings; detection radius 125-200m,Primates,Automated,"Spectrogram, binary point matching",Template matching,Custom open-source detection tools,Not explicitly stated,Yes,No,Recall 1.0 (high SNR); recall 0.71 (low SNR),Precision and recall,Determination of ARU detection ranges in diverse habitats
Conference Proceedings,Automated detection and identification of blue and fin whale foraging calls by combining pattern recognition and machine learning techniques,2016,01-Jul,OCEANS 2016 MTS/IEEE Monterey,,https://doi.org/10.1109/OCEANS.2016.7761269,automated-detection-and-identification-of-blue-and-fin-whale-foraging-calls-by-combining-pattern-recognition-and-machine-learning-techniques,11,,IEEE,,,2009-2013,[Southern California Bight; depths of 65m–1000m; coordinates not provided],4504 D-calls and 320 40-Hz calls; duration not explicitly stated,(Blue and Fin Whales),Automated,"Pattern recognition, spectrograms, noise reduction","Logistic regression, cross-validation",MATLAB-based Triton,Matlab,No,No,95.20% prediction accuracy,Cross-validation; recall and precision analysis,Development of real-time monitoring systems
Journal Article,Automated detection of 50-kHz ultrasonic vocalizations using template matching in XBAT,2014,68-75,Journal of Neuroscience Methods,,http://dx.doi.org/10.1016/j.jneumeth.2014.08.007,automated-detection-of-50-khz-ultrasonic-vocalizations-using-template-matching-in-xbat,11,0165-0270,Elsevier BV,236,,2014,[Laboratory conditions; male Long-Evans rats; Plexiglas chambers],18 recordings; duration not explicitly stated,Other Mammals (Rats),Automated,"Spectrogram generation, FFT, overlapping detections combined","Template matching, spectrogram correlation","XBAT, matlab",matlab,Yes,No,>95%,"Weighted detection percentages, true/false positive analysis",Generalization of methods to other frequency ranges
Journal Article,Automated detection of Bornean white-bearded gibbon (Hylobates albibarbis) vocalisations using an open-source framework for deep learning,2024,,bioRxiv,,https://www.biorxiv.org/content/early/2024/07/21/2024.04.15.589517,automated-detection-of-bornean-white-bearded-gibbon-(hylobates-albibarbis)-vocalisations-using-an-open-source-framework-for-deep-learning,,,Cold Spring Harbor Laboratory,,,2018-2019,"Mungku Baru Education and Research Forest (MBERF), Central Kalimantan, Indonesia; tropical lowland rainforest","300 hours of recordings (70% training, 30% testing); 1,611 annotated calls",Primates (Bornean white-bearded gibbons),Automated,"Spectrogram generation, down-sampling, augmentation (Gaussian noise, time-axis smearing)",Convolutional Neural Network (DenseNet architecture),Koogu,Python,Yes,No,F-score = 87%; 98% detection accuracy for high-quality calls,"Precision, recall, F-score, testing on unseen data",Application to long-term monitoring and other species
Journal Article,Automatic acoustic detection of birds through deep learning: The first Bird Audio Detection challenge,2018,368-380,Methods in Ecology and Evolution,,http://dx.doi.org/10.1111/2041-210X.13103,automatic-acoustic-detection-of-birds-through-deep-learning:-the-first-bird-audio-detection-challenge,11,2041-210X,Wiley,,,2016–2017,"[Multiple datasets including Chernobyl, Warblr, PolandNFC, and freefield1010; diverse environments and conditions]","40,000+ audio files (varied durations: 1–10 seconds)",Birds,Automated,"Mel-frequency cepstral coefficients (MFCCs), normalization, augmentation","Deep learning (CNN, GMM), random forests",Python libraries (custom implementations),Python,Yes,Yes,AUC = 88%,"Area under ROC curve (AUC), testing on unseen datasets",Generalization to novel environments and robustness in noise conditions
Journal Article,Automatic bat call classification using transformer networks,2023,,Ecological Informatics,,https://www.sciencedirect.com/science/article/pii/S1574954123003175,automatic-bat-call-classification-using-transformer-networks,,1574-9541,,,,Not explicitly stated,"[Museum für Naturkunde Berlin, Germany; high-frequency echolocation recordings]","45,000 calls from 29 bat species; ~10 GB WAV files",Bats,Automated,"Spectrograms, Butterworth high-pass filter, downsampling, time expansion","Transformer-based hybrid model, convolutional neural networks (ConvNets), multi-label classification",Custom Python implementations,Python,Yes,No,88.92% (single species); F1-score = 74.40% (multi-species),Accuracy and F1-score on single and multi-species datasets,Real datasets with overlapping calls needed for improved multi-species classification
Journal Article,Automatic bird song and syllable segmentation with an open-source deep-learning object detection method - a case study in the Collared Flycatcher (Ficedula albicollis),2019,59-66,Ornis Hungarica,2,http://dx.doi.org/10.2478/orhu-2019-0015,automatic-bird-song-and-syllable-segmentation-with-an-open-source-deep-learning-object-detection-method---a-case-study-in-the-collared-flycatcher-(ficedula-albicollis),11,2061-9588,Walter de Gruyter GmbH,27,,1999–2015,"[Pilis-Visegrádi Mountains, Hungary; 47°43’ N, 19°01’ E]","3,275 songs and 9,200 syllables; spectrograms of 68,000+ images","Birds (Collared Flycatcher, Ficedula albicollis)",Automated,"Spectrogram images (512 FFT, 50% overlap), augmentation",Deep learning (YOLO object detection),"YOLO, R packages (Seewave, custom scripts)","R, Python",Yes,Yes,"Recall = 97.8% (songs), 90.6% (syllables); Intersection over Union (IoU): 80.9% (songs), 72.2% (syllables)",Cross-validation; recall and IoU measures,"Broader datasets from diverse populations, augmentation for better generalization"
Conference Proceedings,Automatic detection of bird species from audio field recordings using HMM-based modelling of frequency tracks,2017,1779-1783,2017 25th European Signal Processing Conference (EUSIPCO),,http://dx.doi.org/10.23919/EUSIPCO.2017.8081515,automatic-detection-of-bird-species-from-audio-field-recordings-using-hmm-based-modelling-of-frequency-tracks,11,,IEEE,,,Not explicitly stated (longitudinal data used),[Multiple locations across the western USA; field recordings],40 hours of audio recordings (48 bird species); 16 additional hours as non-bird audio trials,Birds,Automated,"Sinusoidal component detection, spectrogram segmentation","Hidden Markov Models (HMM), agglomerative clustering, dynamic time warping",MATLAB (custom implementations),Matlab,No,Yes,Equal Error Rate (EER): 5% (bird impostors); 1.2% (non-bird impostors),"Detection error trade-off (DET) plots, cross-validation",Score normalization techniques for enhanced robustness
Conference Proceedings,Automatic detection of cow/calf vocalizations in free-stall barn,2020,41-45,2020 43rd International Conference on Telecommunications and Signal Processing (TSP),,http://dx.doi.org/10.1109/TSP49548.2020.9163522,automatic-detection-of-cow/calf-vocalizations-in-free-stall-barn,11,,IEEE,,,2021,Habitat: Barn; Elevation: NA,Train: 800 files; Test: 200 files; Duration: 18 hours; Size: 6GB,Farm Animals,Sound Event Detection,"Spectrogram, Noise filtering","Machine Learning, Random Forest",Custom detection system,Python,Yes,No,88%,Precision/Recall,Optimize detection for overlapping noise
Journal Article,Automatic recognition and classification of cattle chewing activity by an acoustic monitoring method with a single-axis acceleration sensor,2013,54-65,Computers and Electronics in Agriculture,,http://dx.doi.org/10.1016/j.compag.2013.01.001,automatic-recognition-and-classification-of-cattle-chewing-activity-by-an-acoustic-monitoring-method-with-a-single-axis-acceleration-sensor,11,0168-1699,Elsevier BV,,,2012,"Minokamo Livestock Farm, Gifu University, Japan",4 cattle; total ~200 minutes of recordings (eating and ruminating sessions),Farm Animals (Cattle),Semi-automated,Frequency analysis (short-time Fourier transform); noise reduction,"Pattern matching, spectrogram-based classification",Matlab,Matlab,No,No,>90% for eating; 102-108% (overestimation) for ruminating,"Manual comparison, root mean square error (RMSE)",Real-time automation and refinement of sensor placements
Journal Article,Automatic recognition of fin and blue whale calls for real-time monitoring in the St. Lawrence,2009,2918-2928,The Journal of the Acoustical Society of America,,http://dx.doi.org/10.1121/1.3257588,automatic-recognition-of-fin-and-blue-whale-calls-for-real-time-monitoring-in-the-st.-lawrence,11,1520-8524,Acoustical Society of America (ASA),,,2003-2004,"St. Lawrence Estuary, Québec, Canada; 7 hydrophone locations; 40m–200m depth","2,472 manually labeled calls; ~14 hours of recordings for noise testing",Marine Mammals (Fin and Blue Whales),Automated,"Spectrogram generation, Gaussian smoothing, adaptive energy thresholding","Spectrogram correlation, Dynamic Time Warping (DTW), Vector Quantization (VQ)",Custom MATLAB implementations,Matlab,No,No,Spectrogram coincidence > 77%; DTW > 85% (Blue Whale D calls),"Precision, recall, false alarm rates; thresholds for detection in noise",Real-time implementation and handling of noisy marine environments
Journal Article,Bat detective—Deep learning tools for bat acoustic signal detection,2018,e1005995,PLOS Computational Biology,,http://dx.doi.org/10.1371/journal.pcbi.1005995,bat-detective—deep-learning-tools-for-bat-acoustic-signal-detection,11,1553-7358,Public Library of Science (PLoS),,,"2005–2011 (training), 2011–2015 (testing)","Romania, Bulgaria, UK (iBats Programme), Norfolk, UK; various road transects and static detectors","14,339 clips annotated, ~605,907 annotations from citizen scientists; includes 5.7 days of continuous data over 5 years",Bats,Automated,"FFT spectrograms (log magnitude), noise reduction (de-noising), data augmentation","Convolutional Neural Networks (CNNs: CNNFULL, CNNFAST), Random Forest",BatDetect Pipeline,Python,Yes (GitHub),Yes,"Precision = 89.5% (CNNFULL), 78.1% (CNNFAST); Recall = 86.3% (CNNFULL), 74.8% (CNNFAST)","Precision-Recall curves, recall at 95% precision",Scaling the pipeline for real-time monitoring and multi-species detection
Conference Proceedings,BAT-CNN: BirdNet Assisted Training for CNN,2024,01-May,"2024 International Conference on Advancements in Power, Communication and Intelligent Systems (APCI)",,https://ieeexplore.ieee.org/document/10617409,bat-cnn:-birdnet-assisted-training-for-cnn,,,,,,Not explicitly stated,Dataset from Xeno-canto (10 bird species); multiple environments,"180 recordings; 3 seconds to 20 minutes per file; 1617 testing files, 1620 validation files","Birds (e.g., Common Whitethroat, Eurasian Eagle-Owl, Mallard)",Automated,"BirdNET segmentation, Mel-spectrogram conversion, silence removal",Convolutional Neural Network (4-layer CNN with pooling and dropout),"BirdNET, FFmpeg, Python libraries",Python,Yes,No,90% average across 10 species,"Precision, recall, F1-score, confusion matrix","Dependence on BirdNET accuracy, limited to BirdNET-supported species"
Journal Article,Benchmarking automated detection and classification approaches for monitoring of endangered species: a case study on gibbons from Cambodia,2024,,bioRxiv,,https://www.biorxiv.org/content/early/2024/08/22/2024.08.17.608420,benchmarking-automated-detection-and-classification-approaches-for-monitoring-of-endangered-species:-a-case-study-on-gibbons-from-cambodia,,,Cold Spring Harbor Laboratory,,,2022,"Jahoo Ecotourism Site, Keo Seima Wildlife Sanctuary, Cambodia; ~250 m training unit spacing, ~2 km testing unit spacing","789 hours annotated training data; 118 gibbon clips, 5,684 noise clips (testing)",Primates (Southern Yellow-cheeked Crested Gibbons),Automated,"MFCCs, spectrogram generation, normalization, 12-s clip segmentation","Support Vector Machine (SVM), ResNet50, BirdNET, Koogu (quasi-DenseNet)","Raven Pro, BirdNET, Koogu","R, Python",Yes,Yes,F1-score: ResNet50 = 0.83; BirdNET = 0.71 (multi-class models),"Precision-recall curves, F1-score, AUC-ROC, cross-validation","Generalizability to other gibbon species, dataset scaling, augmentation for smaller training datasets"
Journal Article,Bioacoustic monitoring to determine addiction levels of primates to the human sphere: A feasibility study on Japanese macaques,2023,,American Journal of Primatology,,http://dx.doi.org/10.1002/ajp.23558,bioacoustic-monitoring-to-determine-addiction-levels-of-primates-to-the-human-sphere:-a-feasibility-study-on-japanese-macaques,11,1098-2345,Wiley,,,2020-2021,"Shirakami and Asahi populations, northeastern Japan; cool-temperate forests and settlements","346 recording weeks; 24 troops; 1,799 macaque calls detected",Primates (Japanese Macaques),Semi-automated,"Fourier Transform spectrograms, noise filtering","Generalized Linear Mixed Models (GLMMs), hidden Markov models (HMMs)",Kaleidoscope Pro (Wildlife Acoustics),R,Yes,Available upon request,"Recall rates: 73% (aggression), 90% (contact calls), others varied","GLMMs, Cohen's d effect size",Refinement of call detection in multi-species soundscapes; improved vocal discrimination for primates
